"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Get courses","LMS service","Sat Jan 17 17:20:04 UTC 2026","broken","Sat Jan 17 17:20:04 UTC 2026","Get entities","Courses","",""
"","0","Create exercise","LMS service","Sat Jan 17 17:20:06 UTC 2026","broken","Sat Jan 17 17:20:06 UTC 2026","Create entity","Exercises","",""
"","14","Get user me","LMS service","Sat Jan 17 17:20:14 UTC 2026","passed","Sat Jan 17 17:20:14 UTC 2026","Get entity","Users","",""
"","270","Create file","LMS service","Sat Jan 17 17:20:10 UTC 2026","passed","Sat Jan 17 17:20:10 UTC 2026","Create entity","Files","",""
"","555","Create user: gmail.com","LMS service","Sat Jan 17 17:20:13 UTC 2026","passed","Sat Jan 17 17:20:13 UTC 2026","Create entity","Users","",""
"","523","Create user: mail.ru","LMS service","Sat Jan 17 17:20:12 UTC 2026","passed","Sat Jan 17 17:20:13 UTC 2026","Create entity","Users","",""
"","29","Create course","LMS service","Sat Jan 17 17:20:06 UTC 2026","passed","Sat Jan 17 17:20:06 UTC 2026","Create entity","Courses","",""
"","21","Delete file","LMS service","Sat Jan 17 17:20:12 UTC 2026","passed","Sat Jan 17 17:20:12 UTC 2026","Delete entity","Files","",""
"","0","Update exercise","LMS service","Sat Jan 17 17:20:06 UTC 2026","broken","Sat Jan 17 17:20:06 UTC 2026","Update entity","Exercises","",""
"","17","Get file","LMS service","Sat Jan 17 17:20:10 UTC 2026","passed","Sat Jan 17 17:20:10 UTC 2026","Get entity","Files","",""
"","288","Create user: example.com","LMS service","Sat Jan 17 17:20:13 UTC 2026","passed","Sat Jan 17 17:20:13 UTC 2026","Create entity","Users","",""
"","0","Get exercises","LMS service","Sat Jan 17 17:20:08 UTC 2026","broken","Sat Jan 17 17:20:08 UTC 2026","Get entities","Exercises","",""
"","0","Update course","LMS service","Sat Jan 17 17:20:05 UTC 2026","broken","Sat Jan 17 17:20:05 UTC 2026","Update entity","Courses","",""
"","0","Get exercise","LMS service","Sat Jan 17 17:20:07 UTC 2026","broken","Sat Jan 17 17:20:07 UTC 2026","Get entity","Exercises","",""
"","269","Create file with empty directory","LMS service","Sat Jan 17 17:20:11 UTC 2026","passed","Sat Jan 17 17:20:12 UTC 2026","Validate entity","Files","",""
"","286","Login with correct email and password","LMS service","Sat Jan 17 17:20:04 UTC 2026","passed","Sat Jan 17 17:20:05 UTC 2026","Login","Authentication","",""
"","262","Get file with incorrect file id","LMS service","Sat Jan 17 17:20:12 UTC 2026","passed","Sat Jan 17 17:20:13 UTC 2026","Validate entity","Files","",""
"","0","Delete exercise","LMS service","Sat Jan 17 17:20:08 UTC 2026","broken","Sat Jan 17 17:20:08 UTC 2026","Delete entity","Exercises","",""
"","269","Create file with empty filename","LMS service","Sat Jan 17 17:20:11 UTC 2026","passed","Sat Jan 17 17:20:11 UTC 2026","Validate entity","Files","",""
